
   INFO  Server running on [http://127.0.0.1:8011].  

  Press Ctrl+C to stop the server

  2026-08-31 11:30:35 / .................................................................................. ~ 513.74ms
  2026-08-31 11:46:45 /login ............................................................................. ~ 542.24ms
  2026-08-31 11:46:45 /build/assets/app--Ej5_6Zd.css ....................................................... ~ 8.28ms
  2026-08-31 11:46:45 /build/assets/app-D_GiBK5n.js ....................................................... ~ 59.02ms
  2026-08-31 11:46:46 /favicon.ico ......................................................................... ~ 9.85ms
  2026-08-31 11:46:47 /login ................................................................................... ~ 1s
  2026-08-31 11:46:47 /dashboard ........................................................................... ~ 0.62ms
  2026-08-31 11:46:48 /build/assets/app--Ej5_6Zd.css ....................................................... ~ 1.25ms
  2026-08-31 11:46:48 /build/assets/app-D_GiBK5n.js ........................................................ ~ 4.18ms
  2026-08-31 11:46:48 /favicon.ico ......................................................................... ~ 5.19ms
  2026-08-31 11:46:48 /accounts .......................................................................... ~ 510.31ms
  2026-08-31 11:46:49 /build/assets/app--Ej5_6Zd.css ....................................................... ~ 2.47ms
  2026-08-31 11:46:49 /build/assets/app-D_GiBK5n.js ....................................................... ~ 72.22ms
  2026-08-31 11:46:49 /favicon.ico ......................................................................... ~ 0.74ms
  2026-08-31 11:46:50 /accounts/38/pump-flow ............................................................. ~ 501.47ms
  2026-08-31 11:46:50 /favicon.ico ......................................................................... ~ 0.56ms
  2026-08-31 11:46:50 /accounts .......................................................................... ~ 507.42ms
  2026-08-31 11:46:51 /build/assets/app--Ej5_6Zd.css ....................................................... ~ 8.52ms
  2026-08-31 11:46:51 /build/assets/app-D_GiBK5n.js ....................................................... ~ 25.40ms
  2026-08-31 11:46:51 /favicon.ico ......................................................................... ~ 0.72ms
  2026-08-31 11:46:52 /accounts .......................................................................... ~ 519.96ms
  2026-08-31 11:46:52 /build/assets/app--Ej5_6Zd.css ....................................................... ~ 0.53ms
  2026-08-31 11:46:52 /build/assets/app-D_GiBK5n.js ....................................................... ~ 15.33ms
  2026-08-31 11:46:53 /favicon.ico ......................................................................... ~ 6.56ms
